"Invoice_Number","Sales_Order_Number","Customer_Number","invoice_date","Invoice_Amount","Payment_Status","payment_date","Payment_Amount","Created_By","created_on","Approved_By","approved_on"
"173640036879","000008175964","0262356",2014-01-16,10751.24,"Paid",2014-02-19,10751.24,"0000126613",2014-01-16,"0000124928",2014-01-19
"173640036880","000008175965","0250634",2014-01-12,7080.67,"Paid",2014-06-15,7080.67,"0000127561",2014-01-12,"0000125235",2014-01-13
"173640036881","000008175966","0240734",2014-01-28,15905.44,"Paid",2014-06-15,15905.44,"0000127205",2014-01-28,"0000124928",2014-02-05
"173640036882","000008175967","0249294",2014-01-09,15193.78,"Paid",2014-02-18,15193.78,"0000125913",2014-01-09,"0000125235",2014-01-13
"173640036883","000008175968","0249149",2014-01-23,746.51,"Paid",2014-04-06,746.51,"0000125170",2014-01-23,"0000125235",2014-01-26
"173640036884","000008175969","0263240",2014-01-22,2569.57,"Paid",2014-02-09,2569.57,"0000125170",2014-01-22,"0000124928",2014-01-27
"173640036885","000008175970","0242652",2014-01-15,1677.25,"Paid",2014-07-02,1677.25,"0000125435",2014-01-15,"0000125235",2014-01-23
"173640036886","000008175971","0264543",2014-01-15,24914.75,"Paid",2014-02-12,24914.75,"0000125170",2014-01-15,"0000124928",2014-01-16
"173640036887","000008175972","0250438",2014-01-14,22908.22,"Paid",2014-03-25,22908.22,"0000125913",2014-01-14,"0000124928",2014-01-22
"173640036888","000008175973","0239703",2014-01-22,23241.01,"Paid",2014-04-08,23241.01,"0000125493",2014-01-22,"0000124928",2014-01-27
"173640036889","000008175974","0263100",2014-01-23,15711.56,"Paid",2014-03-25,15711.56,"0000126613",2014-01-23,"0000124928",2014-01-27
"173640036890","000008175975","0262209",2014-01-16,16082.31,"Paid",2014-02-19,16082.31,"0000127205",2014-01-16,"0000124928",2014-01-20
"173640036891","000008175976","0250932",2014-01-21,10068.89,"Paid",2014-02-03,10068.89,"0000126613",2014-01-21,"0000125235",2014-01-22
"173640036892","000008175977","0237904",2014-01-20,3372.29,"Paid",2014-01-23,3372.29,"0000126692",2014-01-20,"0000125235",2014-01-28
"173640036893","000008175978","0249683",2014-01-15,3244.86,"Paid",2014-03-03,3244.86,"0000127199",2014-01-15,"0000125235",2014-01-19
"173640036894","000008175979","0240494",2014-01-23,7834.17,"Paid",2014-01-30,0,"0000125913",2014-01-23,"0000124928",2014-01-26
"173640036895","000008175980","0248075",2014-01-20,4639.16,"Paid",2014-02-21,4639.16,"0000126692",2014-01-20,"0000124928",2014-01-22
"173640036896","000008175981","0241828",2014-01-19,2227.35,"Paid",2014-02-27,2227.35,"0000126692",2014-01-19,"0000125235",2014-01-21
"173640036897","000008175982","0257819",2014-01-20,23796.78,"Paid",2014-03-20,23796.78,"0000125493",2014-01-20,"0000125235",2014-01-29
"173640036898","000008175983","0250326",2014-01-16,19971.35,"Paid",2014-06-26,19971.35,"0000125640",2014-01-16,"0000125235",2014-01-20
"173640036899","000008175984","0242688",2014-01-22,3651.08,"Paid",2014-01-23,3651.08,"0000127205",2014-01-22,"0000125235",2014-01-28
"173640036900","000008175985","0260122",2014-01-20,26710.99,"Paid",2014-03-11,26710.99,"0000125548",2014-01-20,"0000125235",2014-01-22
"173640036901","000008175986","0250897",2014-01-21,11727.58,"Paid",2014-01-29,11727.58,"0000125435",2014-01-21,"0000124928",2014-01-23
"173640036902","000008175987","0263228",2014-01-22,26321.95,"Paid",2014-03-25,26321.95,"0000125548",2014-01-22,"0000124928",2014-01-26
"173640036903","000008175988","0255174",2014-01-23,23257.42,"Paid",2014-04-05,23257.42,"0000125640",2014-01-23,"0000124928",2014-01-30
"173640036904","000008175989","0245825",2014-01-29,23492.45,"Paid",2014-04-16,23492.45,"0000127199",2014-01-29,"0000125235",2014-02-02
"173640036905","000008175990","0246265",2014-01-22,8517.87,"Paid",2014-01-29,0,"0000125548",2014-01-22,"0000125235",2014-01-26
"173640036906","000008175991","0235029",2014-01-23,5400.15,"Paid",2014-04-21,5400.15,"0000127205",2014-01-23,"0000124928",2014-01-27
"173640036907","000008175992","0237931",2014-01-29,11420.23,"Paid",2014-03-05,11420.23,"0000125435",2014-01-29,"0000125235",2014-02-02
"173640036908","000008175993","0260398",2014-01-16,4858.07,"Paid",2014-01-25,4858.07,"0000125548",2014-01-16,"0000125235",2014-01-19
"173640036909","000008175994","0235412",2014-01-22,2197.55,"Paid",2014-03-02,2197.55,"0000127205",2014-01-22,"0000124928",2014-01-23
"173640036910","000008175995","0261451",2014-01-21,15297.58,"Paid",2014-02-18,15297.58,"0000126692",2014-01-21,"0000124928",2014-01-22
"173640036911","000008175996","0239212",2014-01-15,21547.72,"Paid",2014-01-23,21547.72,"0000125913",2014-01-15,"0000124928",2014-01-16
"173640036912","000008175997","0255334",2014-01-21,10162.25,"Paid",2014-03-03,10162.25,"0000125640",2014-01-21,"0000124928",2014-01-27
"173640036913","000008175998","0255504",2014-01-20,6135.33,"Paid",2014-02-15,6135.33,"0000127561",2014-01-20,"0000125235",2014-01-21
"173640036914","000008175999","0262554",2014-01-22,24393.36,"Paid",2014-04-09,24393.36,"0000127205",2014-01-22,"0000125235",2014-01-26
"173640036915","000008176000","0259974",2014-01-23,13065.06,"Paid",2014-01-30,0,"0000125640",2014-01-23,"0000124928",2014-01-28
"173640036916","000008176001","0264347",2014-01-28,17541.12,"Paid",2014-02-08,17541.12,"0000125493",2014-01-28,"0000124928",2014-02-03
"173640036917","000008176002","0235282",2014-01-27,23091.73,"Paid",2014-03-15,23091.73,"0000125170",2014-01-27,"0000125235",2014-01-29
"173640036918","000008176003","0259104",2014-02-05,15581.41,"Paid",2014-03-12,15581.41,"0000127561",2014-02-05,"0000124928",2014-02-06
"173640036919","000008176004","0243128",2014-02-04,6670.19,"Paid",2014-02-23,6670.19,"0000125493",2014-02-04,"0000125235",2014-02-12
"173640036920","000008176005","0256776",2014-01-29,4344.47,"Paid",2014-02-05,0,"0000127199",2014-01-29,"0000124928",2014-01-30
"173640036921","000008176006","0257880",2014-01-22,5118.38,"Paid",2014-02-08,5118.38,"0000125640",2014-01-22,"0000124928",2014-01-26
"173640036922","000008176007","0262182",2014-02-03,4710.65,"Paid",2014-02-04,4710.65,"0000125548",2014-02-03,"0000125235",2014-02-05
"173640036923","000008176008","0239851",2014-01-27,4488.57,"Paid",2014-01-28,4488.57,"0000125640",2014-01-27,"0000124928",2014-01-29
"173640036924","000008176009","0241882",2014-01-23,4058.4,"Paid",2015-05-09,4058.4,"0000125548",2014-01-23,"0000124928",2014-01-27
"173640036925","000008176010","0245026",2014-02-04,31295.85,"Paid",2014-02-27,31295.85,"0000127561",2014-02-04,"0000124928",2014-02-13
"173640036926","000008176011","0254050",2014-01-26,23109.45,"Paid",2014-06-05,23109.45,"0000125170",2014-01-26,"0000125235",2014-01-29
"173640036927","000008176012","0248772",2014-01-27,22171.57,"Paid",2014-03-02,22171.57,"0000126692",2014-01-27,"0000124928",2014-01-29
"173640036928","000008176013","0264125",2014-01-22,11643.09,"Paid",2014-04-24,11643.09,"0000125640",2014-01-22,"0000124928",2014-01-27
"173640036929","000008176014","0259085",2014-01-23,8038.49,"Paid",2014-03-29,8038.49,"0000127561",2014-01-23,"0000124928",2014-01-27
"173640036930","000008176015","0252131",2014-01-19,2826.74,"Paid",2014-02-17,2826.74,"0000125640",2014-01-19,"0000124928",2014-01-23
"173640036931","000008176016","0250293",2014-01-20,5539.59,"Paid",2014-01-21,5539.59,"0000127199",2014-01-20,"0000125235",2014-01-22
"173640036932","000008176017","0234787",2014-01-20,14326.45,"Paid",2014-01-27,0,"0000125435",2014-01-20,"0000125235",2014-01-22
"173640036933","000008176018","0243665",2014-01-23,20379.37,"Paid",2014-06-16,20379.37,"0000125493",2014-01-23,"0000124928",2014-01-26
"173640036934","000008176019","0244518",2014-01-23,26128.29,"Paid",2014-07-12,26128.29,"0000127561",2014-01-23,"0000124928",2014-01-26
"173640036935","000008176020","0243084",2014-02-05,13210.18,"Paid",2014-02-12,0,"0000125640",2014-02-05,"0000125235",2014-02-09
"173640036936","000008176021","0249597",2014-01-28,5092.62,"Paid",2014-03-16,5092.62,"0000125170",2014-01-28,"0000125235",2014-01-29
"173640036937","000008176022","0249163",2014-02-04,26097.97,"Paid",2014-04-14,26097.97,"0000127205",2014-02-04,"0000124928",2014-02-11
"173640036938","000008176023","0235688",2014-01-30,6692.25,"Paid",2014-11-24,6692.25,"0000125435",2014-01-30,"0000125235",2014-02-05
"173640036939","000008176024","0248440",2014-01-29,745.57,"Paid",2014-06-24,745.57,"0000127561",2014-01-29,"0000124928",2014-02-06
"173640036940","000008176025","0249158",2014-02-03,21975.29,"Paid",2014-03-23,21975.29,"0000125640",2014-02-03,"0000124928",2014-02-05
"173640036941","000008176026","0262633",2014-02-05,24457.98,"Paid",2014-03-14,24457.98,"0000127199",2014-02-05,"0000124928",2014-02-06
"173640036942","000008176027","0263523",2014-01-27,24663.12,"Paid",2014-03-18,24663.12,"0000125548",2014-01-27,"0000125235",2014-01-29
"173640036943","000008176028","0260835",2014-02-06,18201.51,"Paid",2014-02-02,18201.51,"0000126692",2014-02-06,"0000125235",2014-02-12
"173640036944","000008176029","0249328",2014-01-28,31764.55,"Paid",2015-01-22,31764.55,"0000125435",2014-01-28,"0000125235",2014-02-06
"173640036945","000008176030","0240184",2014-02-02,14871.08,"Paid",2014-03-09,14871.08,"0000125913",2014-02-02,"0000124928",2014-02-05
"173640036946","000008176031","0247264",2014-02-10,15182.71,"Paid",2014-02-17,0,"0000127199",2014-02-10,"0000125235",2014-02-11
"173640036947","000008176032","0258746",2014-02-06,9394.55,"Paid",2014-02-15,9394.55,"0000127199",2014-02-06,"0000125235",2014-02-09
"173640036948","000008176033","0244743",2014-02-11,13836.87,"Paid",2014-02-18,0,"0000125640",2014-02-11,"0000125235",2014-02-12
"173640036949","000008176034","0256818",2014-02-05,9357.66,"Paid",2014-04-12,9357.66,"0000125913",2014-02-05,"0000124928",2014-02-06
"173640036950","000008176035","0249975",2014-01-30,7287.38,"Paid",2014-03-11,7287.38,"0000127561",2014-01-30,"0000124928",2014-02-02
"173640036951","000008176036","0252577",2014-01-30,15509.18,"Paid",2014-04-10,15509.18,"0000127561",2014-01-30,"0000125235",2014-02-04
"173640036952","000008176037","0261976",2014-01-28,21302.72,"Paid",2014-02-28,21302.72,"0000127199",2014-01-28,"0000125235",2014-01-29
"173640036953","000008176038","0260942",2014-02-10,11366.76,"Paid",2014-03-02,11366.76,"0000125548",2014-02-10,"0000124928",2014-02-13
"173640036954","000008176039","0252470",2014-02-03,5611.27,"Paid",2014-03-10,5611.27,"0000125640",2014-02-03,"0000125235",2014-02-06
"173640036955","000008176040","0257710",2014-02-10,5201.19,"Paid",2014-04-15,5201.19,"0000126613",2014-02-10,"0000124928",2014-02-12
"173640036956","000008176041","0243935",2014-02-05,24908.49,"Paid",2014-03-14,24908.49,"0000125913",2014-02-05,"0000124928",2014-02-06
"173640036957","000008176042","0236794",2014-02-05,34908.19,"Paid",2014-04-21,34908.19,"0000125493",2014-02-05,"0000125235",2014-02-06
"173640036958","000008176043","0242115",2014-02-05,27033.66,"Paid",2014-03-02,27033.66,"0000125548",2014-02-05,"0000125235",2014-02-10
"173640036959","000008176044","0243802",2014-01-28,17960.23,"Paid",2014-03-08,17960.23,"0000126613",2014-01-28,"0000125235",2014-01-29
"173640036960","000008176045","0251250",2014-02-03,11821.53,"Paid",2014-05-23,11821.53,"0000125548",2014-02-03,"0000124928",2014-02-11
"173640036961","000008176046","0247169",2014-01-28,6002.16,"Paid",2014-01-31,6002.16,"0000126692",2014-01-28,"0000124928",2014-01-29
"173640036962","000008176047","0244705",2014-01-28,9114.75,"Paid",2014-02-04,0,"0000125170",2014-01-28,"0000124928",2014-01-30
"173640036963","000008176048","0251956",2014-01-29,16120.36,"Paid",2014-02-28,16120.36,"0000125548",2014-01-29,"0000124928",2014-01-30
"173640036964","000008176049","0259247",2014-02-05,19485,"Paid",2014-03-05,19485,"0000127561",2014-02-05,"0000124928",2014-02-09
"173640036965","000008176050","0241486",2014-02-11,12758.23,"Paid",2014-03-27,12758.23,"0000126613",2014-02-11,"0000124928",2014-02-17
"173640036966","000008176051","0242028",2014-02-04,4265.13,"Paid",2014-03-11,4265.13,"0000125435",2014-02-04,"0000125235",2014-02-06
"173640036967","000008176052","0243249",2014-01-29,3440.82,"Paid",2014-03-12,3440.82,"0000125493",2014-01-29,"0000124928",2014-01-30
"173640036968","000008176053","0245770",2014-02-02,2395.33,"Paid",2014-03-05,2395.33,"0000125435",2014-02-02,"0000125235",2014-02-06
"173640036969","000008176054","0261961",2014-02-06,3875.59,"Paid",2014-02-27,3875.59,"0000125913",2014-02-06,"0000124928",2014-02-10
"173640036970","000008176055","0235723",2014-02-05,22617.9,"Paid",2014-02-12,0,"0000127205",2014-02-05,"0000125235",2014-02-06
"173640036971","000008176056","0243149",2014-02-03,23360.67,"Paid",2014-03-22,23360.67,"0000126692",2014-02-03,"0000124928",2014-02-05
"173640036972","000008176057","0250542",2014-02-04,6976.1,"Paid",2014-02-11,0,"0000126692",2014-02-04,"0000125235",2014-02-05
"173640036973","000008176058","0252785",2014-01-30,7404.29,"Paid",2014-03-17,7404.29,"0000125913",2014-01-30,"0000125235",2014-02-02
"173640036974","000008176059","0239764",2014-02-03,4849.19,"Paid",2014-05-14,4849.19,"0000127561",2014-02-03,"0000124928",2014-02-04
"173640036975","000008176060","0243381",2014-02-12,3245.44,"Paid",2014-03-06,3245.44,"0000125170",2014-02-12,"0000124928",2014-02-18
"173640036976","000008176061","0245280",2014-02-04,3672.5,"Paid",2014-04-08,3672.5,"0000126692",2014-02-04,"0000125235",2014-02-05
"173640036977","000008176062","0255876",2014-02-10,2219.57,"Paid",2014-02-22,2219.57,"0000125640",2014-02-10,"0000124928",2014-02-18
"173640036978","000008176063","0243319",2014-02-06,3143.45,"Paid",2014-02-12,3143.45,"0000127561",2014-02-06,"0000124928",2014-02-10
"173640036979","000008176064","0244231",2014-02-09,29110.66,"Paid",2014-03-22,29110.66,"0000125548",2014-02-09,"0000124928",2014-02-13
"173640036980","000008176065","0243314",2014-02-02,11482.41,"Paid",2014-03-03,11482.41,"0000125640",2014-02-02,"0000124928",2014-02-03
"173640036981","000008176066","0243528",2014-02-06,3350.54,"Paid",2014-04-13,3350.54,"0000125170",2014-02-06,"0000124928",2014-02-09
"173640036982","000008176067","0249026",2014-02-06,2880.12,"Paid",2014-02-15,2880.12,"0000125548",2014-02-06,"0000124928",2014-02-11
"173640036983","000008176068","0234824",2014-02-06,4576.24,"Paid",2014-03-06,4576.24,"0000126613",2014-02-06,"0000125235",2014-02-12
"173640036984","000008176069","0263810",2014-02-04,1208.37,"Paid",2014-05-20,1208.37,"0000126692",2014-02-04,"0000124928",2014-02-06
"173640036985","000008176070","0236992",2014-02-09,21136.32,"Paid",2014-03-14,21136.32,"0000126613",2014-02-09,"0000124928",2014-02-13
"173640036986","000008176071","0251634",2014-02-11,3382.6,"Paid",2014-02-20,3382.6,"0000125435",2014-02-11,"0000124928",2014-02-12
"173640036987","000008176072","0236004",2014-02-04,4039.67,"Paid",2014-04-18,4039.67,"0000127561",2014-02-04,"0000125235",2014-02-13
"173640036988","000008176073","0257792",2014-02-04,25431.05,"Paid",2014-04-05,25431.05,"0000125170",2014-02-04,"0000125235",2014-02-06
"173640036989","000008176074","0260797",2014-02-11,25011.4,"Outstanding",1910-01-01,25011.4,"0000125640",2014-02-11,"0000124928",2014-02-12
"173640036990","000008176075","0239212",2014-02-12,20059.38,"Paid",2014-02-19,20059.38,"0000125640",2014-02-12,"0000124928",2014-02-18
"173640036991","000008176076","0249012",2014-02-10,12419.73,"Paid",2014-03-08,12419.73,"0000127205",2014-02-10,"0000124928",2014-02-13
"173640036992","000008176077","0238120",2014-02-17,12403.87,"Paid",2014-02-28,12403.87,"0000125435",2014-02-17,"0000125235",2014-02-18
"173640036993","000008176078","0240087",2014-02-12,4774.07,"Paid",2014-07-09,4774.07,"0000125170",2014-02-12,"0000124928",2014-02-13
"173640036994","000008176079","0253255",2014-02-04,4393.84,"Paid",2014-04-26,4393.84,"0000125548",2014-02-04,"0000124928",2014-02-13
"173640036995","000008176080","0239542",2014-02-04,6108.13,"Paid",2014-02-27,6108.13,"0000127561",2014-02-04,"0000125235",2014-02-12
"173640036996","000008176081","0257550",2014-02-04,1058.26,"Paid",2014-03-17,1058.26,"0000125170",2014-02-04,"0000124928",2014-02-05
"173640036997","000008176082","0252432",2014-02-10,29144.36,"Paid",2014-05-03,29144.36,"0000126613",2014-02-10,"0000125235",2014-02-11
"173640036998","000008176083","0243481",2014-02-11,22410.58,"Paid",2014-02-26,22410.58,"0000125640",2014-02-11,"0000124928",2014-02-12
"173640036999","000008176084","0234964",2014-02-12,8367.16,"Paid",2014-03-08,8367.16,"0000127561",2014-02-12,"0000125235",2014-02-16
"173640037000","000008176085","0260353",2014-02-10,12041.34,"Paid",2014-02-28,12041.34,"0000125170",2014-02-10,"0000124928",2014-02-12
"173640037001","000008176086","0260847",2014-02-09,4587.04,"Paid",2014-04-07,4587.04,"0000125170",2014-02-09,"0000124928",2014-02-10
"173640037002","000008176087","0236332",2014-02-12,6145.77,"Paid",2014-04-23,6145.77,"0000127561",2014-02-12,"0000125235",2014-02-18
"173640037003","000008176088","0242090",2014-02-13,18049.65,"Paid",2014-04-30,18049.65,"0000126613",2014-02-13,"0000124928",2014-02-18
"173640037004","000008176089","0256670",2014-02-13,5485.07,"Paid",2014-02-20,0,"0000125548",2014-02-13,"0000125235",2014-02-17
"173640037005","000008176090","0262359",2014-02-18,27822.44,"Paid",2014-02-25,0,"0000126613",2014-02-18,"0000124928",2014-02-27
"173640037006","000008176091","0253448",2014-02-19,26809.02,"Paid",2014-04-25,26809.02,"0000126613",2014-02-19,"0000124928",2014-02-20
"173640037007","000008176092","0245407",2014-02-13,20752.22,"Paid",2014-02-20,0,"0000127205",2014-02-13,"0000124928",2014-02-17
"173640037008","000008176093","0242326",2014-02-11,17328.66,"Paid",2014-04-24,17328.66,"0000127205",2014-02-11,"0000124928",2014-02-18
"173640037009","000008176094","0254248",2014-02-10,21762.85,"Paid",2014-04-24,21762.85,"0000125493",2014-02-10,"0000124928",2014-02-13
"173640037010","000008176095","0251155",2014-02-13,15458.18,"Paid",2014-02-28,15458.18,"0000126613",2014-02-13,"0000125235",2014-02-20
"173640037011","000008176096","0242798",2014-02-10,13753.12,"Outstanding",1910-01-01,0,"0000125913",2014-02-10,"0000124928",2014-02-19
"173640037012","000008176097","0255648",2014-02-18,13208.65,"Paid",2014-03-08,13208.65,"0000125493",2014-02-18,"0000125235",2014-02-27
"173640037013","000008176098","0234299",2014-02-17,4665.64,"Paid",2014-02-24,0,"0000127199",2014-02-17,"0000125235",2014-02-19
"173640037014","000008176099","0250293",2014-02-27,1519.29,"Paid",2014-03-20,1519.29,"0000126932",2014-02-27,"0000125235",2014-03-01
"173640037015","000008176100","0255094",2014-02-13,4292.02,"Paid",2014-02-22,4292.02,"0000125548",2014-02-13,"0000124928",2014-02-19
"173640037016","000008176101","0261498",2014-02-09,370.5,"Paid",2014-03-04,370.5,"0000125640",2014-02-09,"0000124928",2014-02-11
"173640037017","000008176102","0248139",2014-02-16,21307.04,"Paid",2014-03-28,21307.04,"0000126692",2014-02-16,"0000125235",2014-02-18
"173640037018","000008176103","0261521",2014-02-12,4204.73,"Paid",2014-03-24,4204.73,"0000125493",2014-02-12,"0000125235",2014-02-13
"173640037019","000008176104","0254834",2014-02-12,2526.07,"Paid",2014-02-19,0,"0000125493",2014-02-12,"0000125235",2014-02-19
"173640037020","000008176105","0263476",2014-02-12,1325.44,"Paid",2014-05-04,1325.44,"0000125493",2014-02-12,"0000125235",2014-02-16
"173640037021","000008176106","0262874",2014-02-16,22668.01,"Paid",2014-03-23,22668.01,"0000125913",2014-02-16,"0000124928",2014-02-20
"173640037022","000008176107","0250450",2014-02-27,23633.12,"Paid",2014-03-09,23633.12,"0000126692",2014-02-27,"0000125235",2014-03-05
"173640037023","000008176108","0259974",2014-02-17,22183.55,"Paid",2014-04-29,22183.55,"0000126692",2014-02-17,"0000125235",2014-02-19
"173640037024","000008176109","0253136",2014-02-11,17261.91,"Paid",2014-03-09,17261.91,"0000125548",2014-02-11,"0000124928",2014-02-13
"173640037025","000008176110","0254086",2014-02-13,12619.96,"Paid",2014-02-14,12619.96,"0000127561",2014-02-13,"0000124928",2014-02-19
"173640037026","000008176111","0246388",2014-02-23,1028.21,"Outstanding",1910-01-01,1028.21,"0000127561",2014-02-23,"0000124928",2014-02-26
"173640037027","000008176112","0246772",2014-02-13,1622.58,"Paid",2014-03-20,1622.58,"0000125170",2014-02-13,"0000124928",2014-02-19
"173640037028","000008176113","0260635",2014-02-16,23906.31,"Paid",2014-04-12,23906.31,"0000125493",2014-02-16,"0000124928",2014-02-18
"173640037029","000008176114","0235023",2014-02-18,33663.5,"Paid",2014-11-11,33663.5,"0000125170",2014-02-18,"0000125235",2014-02-25
"173640037030","000008176115","0239212",2014-02-20,18073.06,"Paid",2014-06-20,18073.06,"0000125913",2014-02-20,"0000125235",2014-02-24
"173640037031","000008176116","0259053",2014-02-27,25239.17,"Paid",2014-03-21,25239.17,"0000125435",2014-02-27,"0000125235",2014-03-02
"173640037032","000008176117","0236089",2014-02-23,12770.37,"Paid",2014-03-05,12770.37,"0000125640",2014-02-23,"0000124928",2014-02-25
"173640037033","000008176118","0263180",2014-02-19,7631.34,"Paid",2014-06-02,7631.34,"0000126692",2014-02-19,"0000125235",2014-02-25
"173640037034","000008176119","0247200",2014-02-17,10838.55,"Paid",2014-06-19,10838.55,"0000127561",2014-02-17,"0000124928",2014-02-18
"173640037035","000008176120","0245276",2014-02-27,3358.88,"Paid",2014-04-05,3358.88,"0000127205",2014-02-27,"0000124928",2014-03-01
"173640037036","000008176121","0251601",2014-02-16,7818.55,"Paid",2014-03-19,7818.55,"0000127561",2014-02-16,"0000125235",2014-02-20
"173640037037","000008176122","0264663",2014-03-03,11221.99,"Paid",2014-03-31,11221.99,"0000125913",2014-03-03,"0000124928",2014-03-05
"173640037038","000008176123","0238844",2014-02-19,7782.85,"Paid",2014-03-10,7782.85,"0000125493",2014-02-19,"0000125235",2014-02-23
